"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2026","1,973.70","2,027.55","2,035.00","1,968.88","502.48K","-2.01%"
"12/31/2025","2,014.26","2,014.56","2,027.73","2,007.50","199.74K","-0.33%"
"12/30/2025","2,020.88","2,014.92","2,025.19","1,997.06","294.17K","0.29%"
"12/29/2025","2,014.97","1,995.00","2,039.76","1,986.00","276.10K","0.46%"
"12/26/2025","2,005.71","1,998.08","2,012.00","1,994.01","192.54K","0.38%"
"12/24/2025","1,998.21","1,996.00","2,008.17","1,982.12","98.15K","0.16%"
"12/23/2025","1,995.07","1,995.00","2,006.66","1,974.00","254.28K","0.07%"
"12/22/2025","1,993.65","2,009.88","2,013.00","1,960.03","311.11K","-0.20%"
"12/19/2025","1,997.61","1,969.83","2,014.46","1,962.00","737.89K","1.69%"
"12/18/2025","1,964.46","1,932.49","1,983.22","1,932.49","686.12K","2.51%"
"12/17/2025","1,916.28","1,943.69","1,956.05","1,901.83","687.55K","-0.90%"
"12/16/2025","1,933.72","1,964.44","1,974.30","1,906.18","908.31K","-1.68%"
"12/15/2025","1,966.76","2,028.86","2,028.86","1,955.11","487.08K","-2.44%"
"12/12/2025","2,015.89","2,014.65","2,050.49","2,005.00","401.37K","-0.19%"
"12/11/2025","2,019.81","1,978.41","2,042.05","1,969.69","522.75K","2.49%"
"12/10/2025","1,970.73","2,031.01","2,037.50","1,957.00","1.17M","-5.00%"
"12/09/2025","2,074.48","2,072.05","2,091.99","2,044.59","418.18K","-0.66%"
"12/08/2025","2,088.36","2,087.08","2,121.42","2,075.00","361.38K","1.06%"
"12/05/2025","2,066.42","2,145.49","2,163.00","2,051.04","668.87K","-3.42%"
"12/04/2025","2,139.56","2,128.51","2,151.33","2,079.08","443.09K","0.93%"
"12/03/2025","2,119.83","2,117.00","2,151.63","2,102.56","383.79K","0.19%"
"12/02/2025","2,115.91","2,067.75","2,153.75","2,066.01","616.37K","2.49%"
"12/01/2025","2,064.55","2,060.00","2,084.88","2,035.39","538.71K","-0.35%"
"11/28/2025","2,071.78","2,075.38","2,090.86","2,050.00","248.71K","1.89%"
"11/26/2025","2,033.32","2,077.44","2,079.97","2,026.00","378.11K","-1.05%"
"11/25/2025","2,055.00","2,000.67","2,059.94","1,990.56","524.78K","2.29%"
"11/24/2025","2,008.92","1,970.00","2,011.00","1,935.09","870.21K","2.93%"
"11/21/2025","1,951.78","1,903.62","1,966.74","1,901.00","816.08K","2.74%"
"11/20/2025","1,899.75","2,105.30","2,108.00","1,897.18","1.20M","-8.54%"
"11/19/2025","2,077.18","2,065.00","2,095.67","2,054.17","428.86K","0.89%"
"11/18/2025","2,058.81","2,051.10","2,084.13","2,035.61","380.03K","0.05%"
"11/17/2025","2,057.72","2,055.00","2,074.19","2,038.00","375.25K","0.43%"
"11/14/2025","2,048.89","2,030.15","2,049.55","1,990.55","600.89K","0.88%"
"11/13/2025","2,031.05","2,084.51","2,100.00","2,017.88","700.92K","-3.46%"
"11/12/2025","2,103.91","2,141.56","2,143.44","2,094.66","406.03K","0.21%"
"11/11/2025","2,099.57","2,086.16","2,124.50","2,070.00","395.27K","0.36%"
"11/10/2025","2,092.04","2,127.15","2,131.56","2,049.43","823.97K","-0.79%"
"11/07/2025","2,108.60","2,120.00","2,122.00","2,078.36","655.94K","-0.93%"
"11/06/2025","2,128.33","2,274.12","2,276.91","2,121.78","742.55K","-7.54%"
"11/05/2025","2,301.88","2,295.00","2,320.00","2,233.42","464.51K","-0.17%"
"11/04/2025","2,305.69","2,300.00","2,372.79","2,270.00","383.69K","-0.46%"
"11/03/2025","2,316.40","2,331.20","2,387.55","2,289.00","497.48K","-0.47%"
"10/31/2025","2,327.26","2,375.00","2,419.78","2,308.00","754.77K","-1.42%"
"10/30/2025","2,360.76","2,210.55","2,428.00","2,210.00","892.73K","2.82%"
"10/29/2025","2,295.92","2,283.42","2,319.28","2,251.00","545.82K","0.25%"
"10/28/2025","2,290.14","2,290.54","2,298.05","2,250.05","385.60K","0.34%"
"10/27/2025","2,282.32","2,300.00","2,304.09","2,220.00","640.43K","5.61%"
"10/24/2025","2,161.11","2,171.82","2,185.00","2,140.02","367.72K","0.60%"
"10/23/2025","2,148.32","2,108.69","2,149.98","2,095.00","296.39K","2.53%"
"10/22/2025","2,095.21","2,129.56","2,131.44","2,088.45","283.28K","-2.19%"
"10/21/2025","2,142.05","2,105.00","2,163.24","2,096.00","349.42K","1.90%"
"10/20/2025","2,102.11","2,039.73","2,105.00","2,033.09","361.25K","3.81%"
